id,unique_,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,priogrid_gid,country_id
NULL,asd,NULL,#loc+name,NULL,#adm1+name,#adm2+name,#geo+lat,#geo+lon,NULL,NULL
376164,2901,4,Luhansk oblast,Donbas,Luhansk oblast,NULL,48.92,39.02,199879,369
338592,2902,1,Zolote town,"near Khutor Vilny, Zolote-4, Luhansk Obl",Luhansk oblast,Popasna raion,48.683333,38.516667,199878,369
338046,2903,1,Krymskie village,"Krymske, Luhansk Obl",Luhansk oblast,Slovianoserbsk raion,48.75,38.8,199878,369
338048,2904,4,Luhansk oblast,NULL,Luhansk oblast,NULL,48.92,39.02,199879,369
338050,2905,1,Novozvanivka village,"Novozvanivka, Luhansk region.",Luhansk oblast,Popasna raion,48.585554,38.356653,199877,369
338055,2906,4,Luhansk oblast,Luhansk Obl,Luhansk oblast,NULL,48.92,39.02,199879,369
338057,2907,3,Popasna raion,Popasna Raion,Luhansk oblast,Popasna raion,48.6333,38.378,199877,369
338077,2908,4,Luhansk oblast,NULL,Luhansk oblast,NULL,48.92,39.02,199879,369
338083,2909,1,Novotoshkivske village,Novotoshkivske in Donbas,Luhansk oblast,Popasna raion,48.724788,38.63232,199878,369
376163,2910,4,Luhansk oblast,NULL,Luhansk oblast,NULL,48.92,39.02,199879,369
338160,2911,2,Novotoshkivske village,"near the village of Golubovskoye, Luhansk region
/near the villages of Novotoshkivka and Krymske",Luhansk oblast,Popasna raion,48.724788,38.63232,199878,369
338162,2912,2,Novotoshkivske village,"near Novotoshkivske, Luhansk Obl",Luhansk oblast,Popasna raion,48.724788,38.63232,199878,369
338163,2913,2,Nyzhnoteple village,"near Nyzhnoteple, Luhansk Obl",Luhansk oblast,Stanychno-Luhansk raion,48.797222,39.350278,199879,369
376165,2914,4,Luhansk oblast,NULL,Luhansk oblast,NULL,48.92,39.02,199879,369
338611,2915,1,Katerinivka village,"near village of Katerynivka, Luhansk Obl",Luhansk oblast,Popasna raion,48.668695,38.483163,199877,369
338164,2916,2,Sokilnyky village,area of the settlement of Sokolniki in the Lugansk People’s Republic (LPR),Luhansk oblast,Slovianoserbsk raion,48.746225,38.870126,199878,369
338167,2917,4,Luhansk oblast,Lugansk People’s Republic,Luhansk oblast,NULL,48.92,39.02,199879,369
338616,2918,2,Orikhove village,"near Orikhove, Luhansk Obl",Luhansk oblast,Popasna raion,48.720278,38.565,199878,369
338169,2919,2,Krymskie village,"near the village of Krymske of Novoaydarsky district, Luhansk region",Luhansk oblast,Slovianoserbsk raion,48.75,38.8,199878,369
338199,2920,2,Popasna town,environmental protection zone near the city of Popasna,Luhansk oblast,Popasna raion,48.633333,38.38,199877,369
338197,2921,2,Oleksandrivsk village,"near Novooleksandrivka, Luhansk Obl",Luhansk oblast,Luhansk City municipality,48.587,39.184193,199879,369
338438,2922,1,Golubivske village,Golubovskoye settlement in the self-proclaimed Lugansk People’s Republic,Luhansk oblast,Popasna raion,48.690674,38.640518,199878,369
338441,2923,4,Luhansk oblast,Luhansk region,Luhansk oblast,NULL,48.92,39.02,199879,369
338442,2924,2,Krymskie village,"near Krymske, Luhansk Obl",Luhansk oblast,Slovianoserbsk raion,48.75,38.8,199878,369
338619,2925,2,Krymskie village,"near Krymske, Luhansk Obl",Luhansk oblast,Slovianoserbsk raion,48.75,38.8,199878,369
343812,2926,1,Zolote town,"disengagement zone No.2 Zolote, Luhansk Obl",Luhansk oblast,Popasna raion,48.683333,38.516667,199878,369
376173,2927,2,Zolote town,"concentrated near Donetsk, Horlivka, Zolote disengagement area, and east of Mariupol",Luhansk oblast,Popasna raion,48.683333,38.516667,199878,369
343813,2928,2,Katerinivka village,"near Katerynivka, Luhansk Obl",Luhansk oblast,Popasna raion,48.668695,38.483163,199877,369
343814,2929,1,Trekhizbenka village,"Triokhizbenka, Luhansk Obl",Luhansk oblast,Slovianoserbsk raion,48.753333,38.9725,199878,369
343815,2930,4,Luhansk oblast,Luhansk Obl,Luhansk oblast,NULL,48.92,39.02,199879,369
350717,2931,4,Luhansk oblast,NULL,Luhansk oblast,NULL,48.92,39.02,199879,369
376146,2932,4,Luhansk oblast,NULL,Luhansk oblast,NULL,48.92,39.02,199879,369
343817,2933,1,Popasna town,"Popasna, Luhansk Obl",Luhansk oblast,Popasna raion,48.633333,38.38,199877,369
349608,2934,1,Zolote town,Zolotoye-5,Luhansk oblast,Popasna raion,48.683333,38.516667,199878,369
366896,2935,1,Zolote town,Zolote,Luhansk oblast,Popasna raion,48.683333,38.516667,199878,369
376153,2936,4,Luhansk oblast,"Popasna and Maryinka, and the villages of Orikhove, Novozvanivka, Khutir Vilny, Novotoshkivske, Katerynivka, Novhorodske, Shyrokyne, Pavlopil, Novomykhailivka, and Starohnativka",Luhansk oblast,NULL,48.92,39.02,199879,369
350715,2937,4,Luhansk oblast,NULL,Luhansk oblast,NULL,48.92,39.02,199879,369
349661,2938,1,Novozvanivka village,"Novozvanivka, Luhansk Obl",Luhansk oblast,Popasna raion,48.585554,38.356653,199877,369
349667,2939,1,Troitske village,"Troyitske, Luhansk Obl",Luhansk oblast,Troitske raion,49.91851,38.296047,201317,369
376155,2940,4,Luhansk oblast,NULL,Luhansk oblast,NULL,48.92,39.02,199879,369
354299,2941,4,Luhansk oblast,Lugansk region,Luhansk oblast,NULL,48.92,39.02,199879,369
354372,2942,4,Luhansk oblast,Luhansk Obl,Luhansk oblast,NULL,48.92,39.02,199879,369
376156,2943,4,Luhansk oblast,NULL,Luhansk oblast,NULL,48.92,39.02,199879,369
