connection_id,source_id,original_id
1000,8000,1
1001,8000,2
1002,8001,1
1003,8001,2
1004,8002,1
1005,8002,2
1006,8003,1
1007,8003,2
1008,8004,1
1009,8004,2
1010,8005,3
1011,8006,4
1012,8006,5
1013,8006,6
1014,8006,7
1015,8007,4
1016,8007,5
1017,8007,6
1018,8007,7
1019,8008,4
1020,8008,5
1021,8008,6
1022,8008,7
1023,8009,4
1024,8009,5
1025,8009,6
1026,8009,7
1027,8010,4
1028,8010,5
1029,8010,6
1030,8010,7
1031,8011,4
1032,8011,5
1033,8011,6
1034,8011,7
1035,8012,4
1036,8012,5
1037,8012,6
1038,8012,7
1039,8013,4
1040,8013,5
1041,8013,6
1042,8013,7
1043,8014,4
1044,8014,5
1045,8014,6
1046,8014,7
1047,8015,8
1048,8017,434
1049,8017,9
1050,8017,5
1051,8017,10
1052,8017,11
1053,8017,12
1054,8018,13
1055,8018,9
1056,8018,5
1057,8018,10
1058,8018,11
1059,8018,12
1060,8019,13
1061,8019,9
1062,8019,5
1063,8019,10
1064,8019,11
1065,8019,12
1066,8020,13
1067,8020,9
1068,8020,5
1069,8020,10
1070,8020,11
1071,8020,12
1072,8021,13
1073,8021,9
1074,8021,5
1075,8021,10
1076,8021,11
1077,8021,12
1078,8022,13
1079,8022,9
1080,8022,5
1081,8022,10
1082,8022,11
1083,8022,12
1084,8023,13
1085,8023,9
1086,8023,5
1087,8023,10
1088,8023,11
1089,8023,12
1090,8024,13
1091,8024,9
1092,8024,5
1093,8024,10
1094,8024,11
1095,8024,12
1096,8025,13
1097,8026,14
1098,8027,14
1099,8028,14
1100,8029,14
1101,8030,15
1102,8031,15
1103,8032,15
1104,8033,16
1105,8034,17
1106,8035,18
1107,8036,18
1108,8037,18
1109,8037,19
1110,8037,20
1111,8037,21
1112,8038,22
1113,8038,19
1114,8038,20
1115,8038,21
1116,8039,22
1117,8040,23
1118,8041,23
1119,8041,24
1120,8042,25
1121,8042,23
1122,8043,24
1123,8043,25
1124,8044,23
1125,8044,24
1126,8044,25
1127,8045,23
1128,8045,26
1129,8045,27
1130,8046,28
1131,8046,26
1132,8046,27
1133,8047,28
1134,8047,26
1135,8047,27
1136,8048,28
1137,8048,26
1138,8048,27
1139,8049,28
1140,8049,26
1141,8049,27
1142,8050,28
1143,8050,26
